STR,choice,alt ,asc,species,frog,bird,fish,location1,satoyama,non_satoyama,cultivation1,organic,non_organic,price 
408,1,alt2,0,3,0,0,1,1,1,0,1,1,0,1000
408,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
409,1,alt1,0,1,1,0,0,0,0,1,1,1,0,2500
409,0,alt2,0,3,0,0,1,1,1,0,0,0,1,2500
409,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
4010,0,alt1,0,2,0,1,0,0,0,1,0,0,1,1000
4010,1,alt2,0,2,0,1,0,1,1,0,1,1,0,3000
4010,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
4011,1,alt1,0,1,1,0,0,1,1,0,1,1,0,5000
4011,0,alt2,0,3,0,0,1,0,0,1,0,0,1,2000
4011,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
4012,1,alt1,0,1,1,0,0,1,1,0,1,1,0,9000
4012,0,alt2,0,2,0,1,0,1,1,0,0,0,1,2000
4012,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
507,1,alt1,0,2,0,1,0,1,1,0,1,1,0,2000
507,0,alt2,0,1,1,0,0,1,1,0,1,1,0,5000
507,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
508,0,alt1,0,3,0,0,1,0,0,1,0,0,1,9000
508,1,alt2,0,3,0,0,1,1,1,0,1,1,0,1000
508,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
509,1,alt1,0,1,1,0,0,0,0,1,1,1,0,2500
509,0,alt2,0,3,0,0,1,1,1,0,0,0,1,2500
509,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
5010,0,alt1,0,2,0,1,0,0,0,1,0,0,1,1000
5010,0,alt2,0,2,0,1,0,1,1,0,1,1,0,3000
5010,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
5011,0,alt1,0,1,1,0,0,1,1,0,1,1,0,5000
5011,1,alt2,0,3,0,0,1,0,0,1,0,0,1,2000
5011,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
5012,0,alt1,0,1,1,0,0,1,1,0,1,1,0,9000
5012,1,alt2,0,2,0,1,0,1,1,0,0,0,1,2000
5012,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
6013,0,alt1,0,2,0,1,0,0,0,1,0,0,1,5000
6013,0,alt2,0,1,1,0,0,0,0,1,1,1,0,2500
6013,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
6014,1,alt1,0,3,0,0,1,0,0,1,1,1,0,5000
6014,0,alt2,0,1,1,0,0,1,1,0,1,1,0,9000
6014,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
6015,1,alt1,0,1,1,0,0,0,0,1,1,1,0,2000
6015,0,alt2,0,2,0,1,0,0,0,1,1,1,0,9000
6015,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
6016,0,alt1,0,3,0,0,1,1,1,0,0,0,1,2500
6016,1,alt2,0,2,0,1,0,1,1,0,1,1,0,2500
6016,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
6017,0,alt1,0,3,0,0,1,1,1,0,1,1,0,3000
6017,0,alt2,0,3,0,0,1,0,0,1,1,1,0,9000
6017,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
6018,0,alt1,0,2,0,1,0,0,0,1,1,1,0,9000
6018,0,alt2,0,3,0,0,1,1,1,0,0,0,1,3000
6018,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
7013,0,alt1,0,2,0,1,0,0,0,1,0,0,1,5000
7013,1,alt2,0,1,1,0,0,0,0,1,1,1,0,2500
7013,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
7014,1,alt1,0,3,0,0,1,0,0,1,1,1,0,5000
7014,0,alt2,0,1,1,0,0,1,1,0,1,1,0,9000
7014,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
7015,1,alt1,0,1,1,0,0,0,0,1,1,1,0,2000
7015,0,alt2,0,2,0,1,0,0,0,1,1,1,0,9000
7015,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
7016,0,alt1,0,3,0,0,1,1,1,0,0,0,1,2500
7016,1,alt2,0,2,0,1,0,1,1,0,1,1,0,2500
7016,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
7017,1,alt1,0,3,0,0,1,1,1,0,1,1,0,3000
7017,0,alt2,0,3,0,0,1,0,0,1,1,1,0,9000
7017,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
7018,0,alt1,0,2,0,1,0,0,0,1,1,1,0,9000
7018,1,alt2,0,3,0,0,1,1,1,0,0,0,1,3000
7018,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
8013,1,alt1,0,2,0,1,0,0,0,1,0,0,1,5000
8013,0,alt2,0,1,1,0,0,0,0,1,1,1,0,2500
8013,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
8014,1,alt1,0,3,0,0,1,0,0,1,1,1,0,5000
8014,0,alt2,0,1,1,0,0,1,1,0,1,1,0,9000
8014,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
8015,1,alt1,0,1,1,0,0,0,0,1,1,1,0,2000
8015,0,alt2,0,2,0,1,0,0,0,1,1,1,0,9000
8015,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
8016,0,alt1,0,3,0,0,1,1,1,0,0,0,1,2500
8016,1,alt2,0,2,0,1,0,1,1,0,1,1,0,2500
8016,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
8017,1,alt1,0,3,0,0,1,1,1,0,1,1,0,3000
8017,0,alt2,0,3,0,0,1,0,0,1,1,1,0,9000
8017,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
8018,1,alt1,0,2,0,1,0,0,0,1,1,1,0,9000
8018,0,alt2,0,3,0,0,1,1,1,0,0,0,1,3000
8018,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
901,1,alt1,0,2,0,1,0,1,1,0,1,1,0,2500
901,0,alt2,0,3,0,0,1,0,0,1,1,1,0,5000
901,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
902,1,alt1,0,3,0,0,1,1,1,0,1,1,0,1000
902,0,alt2,0,2,0,1,0,0,0,1,0,0,1,5000
902,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
903,0,alt1,0,2,0,1,0,1,1,0,1,1,0,3000
903,1,alt2,0,1,1,0,0,0,0,1,1,1,0,2000
903,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
904,0,alt1,0,1,1,0,0,0,0,1,1,1,0,3000
904,1,alt2,0,2,0,1,0,0,0,1,1,1,0,1000
904,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
905,1,alt1,0,1,1,0,0,1,1,0,0,0,1,1000
905,0,alt2,0,1,1,0,0,0,0,1,0,0,1,3000
905,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
906,1,alt1,0,3,0,0,1,0,0,1,1,1,0,2000
906,0,alt2,0,1,1,0,0,1,1,0,0,0,1,1000
906,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1001,1,alt1,0,2,0,1,0,1,1,0,1,1,0,2500
1001,0,alt2,0,3,0,0,1,0,0,1,1,1,0,5000
1001,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1002,1,alt1,0,3,0,0,1,1,1,0,1,1,0,1000
1002,0,alt2,0,2,0,1,0,0,0,1,0,0,1,5000
1002,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1003,1,alt1,0,2,0,1,0,1,1,0,1,1,0,3000
1003,0,alt2,0,1,1,0,0,0,0,1,1,1,0,2000
1003,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1004,0,alt1,0,1,1,0,0,0,0,1,1,1,0,3000
1004,1,alt2,0,2,0,1,0,0,0,1,1,1,0,1000
1004,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1005,1,alt1,0,1,1,0,0,1,1,0,0,0,1,1000
1005,0,alt2,0,1,1,0,0,0,0,1,0,0,1,3000
1005,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1006,0,alt1,0,3,0,0,1,0,0,1,1,1,0,2000
1006,1,alt2,0,1,1,0,0,1,1,0,0,0,1,1000
1006,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1101,1,alt1,0,2,0,1,0,1,1,0,1,1,0,2500
1101,0,alt2,0,3,0,0,1,0,0,1,1,1,0,5000
1101,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1102,1,alt1,0,3,0,0,1,1,1,0,1,1,0,1000
1102,0,alt2,0,2,0,1,0,0,0,1,0,0,1,5000
1102,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1103,1,alt1,0,2,0,1,0,1,1,0,1,1,0,3000
1103,0,alt2,0,1,1,0,0,0,0,1,1,1,0,2000
1103,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1104,0,alt1,0,1,1,0,0,0,0,1,1,1,0,3000
1104,1,alt2,0,2,0,1,0,0,0,1,1,1,0,1000
1104,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1105,1,alt1,0,1,1,0,0,1,1,0,0,0,1,1000
1105,0,alt2,0,1,1,0,0,0,0,1,0,0,1,3000
1105,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1106,1,alt1,0,3,0,0,1,0,0,1,1,1,0,2000
1106,0,alt2,0,1,1,0,0,1,1,0,0,0,1,1000
1106,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1207,0,alt1,0,2,0,1,0,1,1,0,1,1,0,2000
1207,1,alt2,0,1,1,0,0,1,1,0,1,1,0,5000
1207,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1208,0,alt1,0,3,0,0,1,0,0,1,0,0,1,9000
1208,1,alt2,0,3,0,0,1,1,1,0,1,1,0,1000
1208,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1209,1,alt1,0,1,1,0,0,0,0,1,1,1,0,2500
1209,0,alt2,0,3,0,0,1,1,1,0,0,0,1,2500
1209,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
12010,0,alt1,0,2,0,1,0,0,0,1,0,0,1,1000
12010,1,alt2,0,2,0,1,0,1,1,0,1,1,0,3000
12010,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
12011,0,alt1,0,1,1,0,0,1,1,0,1,1,0,5000
12011,1,alt2,0,3,0,0,1,0,0,1,0,0,1,2000
12011,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
12012,0,alt1,0,1,1,0,0,1,1,0,1,1,0,9000
12012,1,alt2,0,2,0,1,0,1,1,0,0,0,1,2000
12012,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1307,1,alt1,0,2,0,1,0,1,1,0,1,1,0,2000
1307,0,alt2,0,1,1,0,0,1,1,0,1,1,0,5000
1307,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1308,0,alt1,0,3,0,0,1,0,0,1,0,0,1,9000
1308,1,alt2,0,3,0,0,1,1,1,0,1,1,0,1000
1308,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1309,1,alt1,0,1,1,0,0,0,0,1,1,1,0,2500
1309,0,alt2,0,3,0,0,1,1,1,0,0,0,1,2500
1309,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
13010,0,alt1,0,2,0,1,0,0,0,1,0,0,1,1000
13010,1,alt2,0,2,0,1,0,1,1,0,1,1,0,3000
13010,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
13011,1,alt1,0,1,1,0,0,1,1,0,1,1,0,5000
13011,0,alt2,0,3,0,0,1,0,0,1,0,0,1,2000
13011,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
13012,0,alt1,0,1,1,0,0,1,1,0,1,1,0,9000
13012,1,alt2,0,2,0,1,0,1,1,0,0,0,1,2000
13012,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
14013,0,alt1,0,2,0,1,0,0,0,1,0,0,1,5000
14013,1,alt2,0,1,1,0,0,0,0,1,1,1,0,2500
14013,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
14014,0,alt1,0,3,0,0,1,0,0,1,1,1,0,5000
14014,0,alt2,0,1,1,0,0,1,1,0,1,1,0,9000
14014,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
14015,1,alt1,0,1,1,0,0,0,0,1,1,1,0,2000
14015,0,alt2,0,2,0,1,0,0,0,1,1,1,0,9000
14015,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
14016,0,alt1,0,3,0,0,1,1,1,0,0,0,1,2500
14016,1,alt2,0,2,0,1,0,1,1,0,1,1,0,2500
14016,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
14017,1,alt1,0,3,0,0,1,1,1,0,1,1,0,3000
14017,0,alt2,0,3,0,0,1,0,0,1,1,1,0,9000
14017,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
14018,0,alt1,0,2,0,1,0,0,0,1,1,1,0,9000
14018,1,alt2,0,3,0,0,1,1,1,0,0,0,1,3000
14018,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1501,1,alt1,0,2,0,1,0,1,1,0,1,1,0,2500
1501,0,alt2,0,3,0,0,1,0,0,1,1,1,0,5000
1501,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1502,1,alt1,0,3,0,0,1,1,1,0,1,1,0,1000
1502,0,alt2,0,2,0,1,0,0,0,1,0,0,1,5000
1502,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1503,0,alt1,0,2,0,1,0,1,1,0,1,1,0,3000
1503,1,alt2,0,1,1,0,0,0,0,1,1,1,0,2000
1503,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1504,0,alt1,0,1,1,0,0,0,0,1,1,1,0,3000
1504,1,alt2,0,2,0,1,0,0,0,1,1,1,0,1000
1504,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1505,0,alt1,0,1,1,0,0,1,1,0,0,0,1,1000
1505,1,alt2,0,1,1,0,0,0,0,1,0,0,1,3000
1505,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1506,1,alt1,0,3,0,0,1,0,0,1,1,1,0,2000
1506,0,alt2,0,1,1,0,0,1,1,0,0,0,1,1000
1506,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1607,1,alt1,0,2,0,1,0,1,1,0,1,1,0,2000
1607,0,alt2,0,1,1,0,0,1,1,0,1,1,0,5000
1607,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1608,0,alt1,0,3,0,0,1,0,0,1,0,0,1,9000
1608,1,alt2,0,3,0,0,1,1,1,0,1,1,0,1000
1608,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1609,1,alt1,0,1,1,0,0,0,0,1,1,1,0,2500
1609,0,alt2,0,3,0,0,1,1,1,0,0,0,1,2500
1609,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
16010,0,alt1,0,2,0,1,0,0,0,1,0,0,1,1000
16010,1,alt2,0,2,0,1,0,1,1,0,1,1,0,3000
16010,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
16011,1,alt1,0,1,1,0,0,1,1,0,1,1,0,5000
16011,0,alt2,0,3,0,0,1,0,0,1,0,0,1,2000
16011,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
16012,1,alt1,0,1,1,0,0,1,1,0,1,1,0,9000
16012,0,alt2,0,2,0,1,0,1,1,0,0,0,1,2000
16012,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1707,0,alt1,0,2,0,1,0,1,1,0,1,1,0,2000
1707,0,alt2,0,1,1,0,0,1,1,0,1,1,0,5000
1707,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1708,0,alt1,0,3,0,0,1,0,0,1,0,0,1,9000
1708,0,alt2,0,3,0,0,1,1,1,0,1,1,0,1000
1708,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
1709,0,alt1,0,1,1,0,0,0,0,1,1,1,0,2500
1709,0,alt2,0,3,0,0,1,1,1,0,0,0,1,2500
1709,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
17010,0,alt1,0,2,0,1,0,0,0,1,0,0,1,1000
17010,0,alt2,0,2,0,1,0,1,1,0,1,1,0,3000
17010,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
17011,0,alt1,0,1,1,0,0,1,1,0,1,1,0,5000
17011,0,alt2,0,3,0,0,1,0,0,1,0,0,1,2000
17011,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
17012,0,alt1,0,1,1,0,0,1,1,0,1,1,0,9000
17012,0,alt2,0,2,0,1,0,1,1,0,0,0,1,2000
17012,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
18013,0,alt1,0,2,0,1,0,0,0,1,0,0,1,5000
18013,1,alt2,0,1,1,0,0,0,0,1,1,1,0,2500
18013,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
18014,0,alt1,0,3,0,0,1,0,0,1,1,1,0,5000
18014,0,alt2,0,1,1,0,0,1,1,0,1,1,0,9000
18014,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
18015,1,alt1,0,1,1,0,0,0,0,1,1,1,0,2000
18015,0,alt2,0,2,0,1,0,0,0,1,1,1,0,9000
18015,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
18016,0,alt1,0,3,0,0,1,1,1,0,0,0,1,2500
18016,1,alt2,0,2,0,1,0,1,1,0,1,1,0,2500
18016,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
18017,1,alt1,0,3,0,0,1,1,1,0,1,1,0,3000
18017,0,alt2,0,3,0,0,1,0,0,1,1,1,0,9000
18017,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
18018,0,alt1,0,2,0,1,0,0,0,1,1,1,0,9000
18018,1,alt2,0,3,0,0,1,1,1,0,0,0,1,3000
18018,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
19013,0,alt1,0,2,0,1,0,0,0,1,0,0,1,5000
19013,0,alt2,0,1,1,0,0,0,0,1,1,1,0,2500
19013,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
19014,0,alt1,0,3,0,0,1,0,0,1,1,1,0,5000
19014,0,alt2,0,1,1,0,0,1,1,0,1,1,0,9000
19014,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
19015,0,alt1,0,1,1,0,0,0,0,1,1,1,0,2000
19015,0,alt2,0,2,0,1,0,0,0,1,1,1,0,9000
19015,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
19016,0,alt1,0,3,0,0,1,1,1,0,0,0,1,2500
19016,0,alt2,0,2,0,1,0,1,1,0,1,1,0,2500
19016,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
19017,0,alt1,0,3,0,0,1,1,1,0,1,1,0,3000
19017,0,alt2,0,3,0,0,1,0,0,1,1,1,0,9000
19017,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
19018,0,alt1,0,2,0,1,0,0,0,1,1,1,0,9000
19018,0,alt2,0,3,0,0,1,1,1,0,0,0,1,3000
19018,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
20013,0,alt1,0,2,0,1,0,0,0,1,0,0,1,5000
20013,1,alt2,0,1,1,0,0,0,0,1,1,1,0,2500
20013,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
20014,0,alt1,0,3,0,0,1,0,0,1,1,1,0,5000
20014,0,alt2,0,1,1,0,0,1,1,0,1,1,0,9000
20014,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
20015,1,alt1,0,1,1,0,0,0,0,1,1,1,0,2000
20015,0,alt2,0,2,0,1,0,0,0,1,1,1,0,9000
20015,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
20016,0,alt1,0,3,0,0,1,1,1,0,0,0,1,2500
20016,1,alt2,0,2,0,1,0,1,1,0,1,1,0,2500
20016,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
20017,1,alt1,0,3,0,0,1,1,1,0,1,1,0,3000
20017,0,alt2,0,3,0,0,1,0,0,1,1,1,0,9000
20017,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
20018,0,alt1,0,2,0,1,0,0,0,1,1,1,0,9000
20018,0,alt2,0,3,0,0,1,1,1,0,0,0,1,3000
20018,1,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
2101,1,alt1,0,2,0,1,0,1,1,0,1,1,0,2500
2101,0,alt2,0,3,0,0,1,0,0,1,1,1,0,5000
2101,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
2102,1,alt1,0,3,0,0,1,1,1,0,1,1,0,1000
2102,0,alt2,0,2,0,1,0,0,0,1,0,0,1,5000
2102,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
2103,0,alt1,0,2,0,1,0,1,1,0,1,1,0,3000
2103,1,alt2,0,1,1,0,0,0,0,1,1,1,0,2000
2103,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
2104,0,alt1,0,1,1,0,0,0,0,1,1,1,0,3000
2104,1,alt2,0,2,0,1,0,0,0,1,1,1,0,1000
2104,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
2105,1,alt1,0,1,1,0,0,1,1,0,0,0,1,1000
2105,0,alt2,0,1,1,0,0,0,0,1,0,0,1,3000
2105,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
2106,1,alt1,0,3,0,0,1,0,0,1,1,1,0,2000
2106,0,alt2,0,1,1,0,0,1,1,0,0,0,1,1000
2106,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
2201,1,alt1,0,2,0,1,0,1,1,0,1,1,0,2500
2201,0,alt2,0,3,0,0,1,0,0,1,1,1,0,5000
2201,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
2202,1,alt1,0,3,0,0,1,1,1,0,1,1,0,1000
2202,0,alt2,0,2,0,1,0,0,0,1,0,0,1,5000
2202,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
2203,1,alt1,0,2,0,1,0,1,1,0,1,1,0,3000
2203,0,alt2,0,1,1,0,0,0,0,1,1,1,0,2000
2203,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
2204,1,alt1,0,1,1,0,0,0,0,1,1,1,0,3000
2204,0,alt2,0,2,0,1,0,0,0,1,1,1,0,1000
2204,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
2205,1,alt1,0,1,1,0,0,1,1,0,0,0,1,1000
2205,0,alt2,0,1,1,0,0,0,0,1,0,0,1,3000
2205,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
2206,1,alt1,0,3,0,0,1,0,0,1,1,1,0,2000
2206,0,alt2,0,1,1,0,0,1,1,0,0,0,1,1000
2206,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
2307,1,alt1,0,2,0,1,0,1,1,0,1,1,0,2000
2307,0,alt2,0,1,1,0,0,1,1,0,1,1,0,5000
2307,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
2308,0,alt1,0,3,0,0,1,0,0,1,0,0,1,9000
2308,1,alt2,0,3,0,0,1,1,1,0,1,1,0,1000
2308,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
2309,1,alt1,0,1,1,0,0,0,0,1,1,1,0,2500
2309,0,alt2,0,3,0,0,1,1,1,0,0,0,1,2500
2309,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
23010,0,alt1,0,2,0,1,0,0,0,1,0,0,1,1000
23010,1,alt2,0,2,0,1,0,1,1,0,1,1,0,3000
23010,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
23011,1,alt1,0,1,1,0,0,1,1,0,1,1,0,5000
23011,0,alt2,0,3,0,0,1,0,0,1,0,0,1,2000
23011,0,alt3,1,0,0,0,0,0,0,1,0,0,1,2000
